index,Instituce_ID,Casopis_ID,Instituce,Casopis
1,4,34,Vědecké kolegium filosofie a sociologie ČSAV,Sociologický časopis / Czech Sociological Review
2,7,41,Československý ústav pro výzkum veřejného mínění,Veřejné mínění
3,9,43,Dům techniky ČSVTS Pardubice,Analýza (časopis)
4,19,26,Státní úřad statistický,Sociální problémy
5,19,37,Státní úřad statistický,Statistický obzor
6,19,38,Státní úřad statistický,Statistika
7,19,44,Státní úřad statistický,Demografie (časopis)
8,20,27,Sociální ústav ČSR,Sociální revue
9,22,33,Ústav pro filosofii a sociologii ČSAV,Sociologické aktuality
10,22,34,Ústav pro filosofii a sociologii ČSAV,Sociologický časopis / Czech Sociological Review
11,26,18,Ústav sociálně politických věd UK,Přehled vědecké a pedagogické práce kateder marxismu-leninismu
12,26,42,Ústav sociálně politických věd UK,Vědecké informace Ústavu marxismu-leninismu pro vysoké školy
13,29,8,Výzkumný ústav práce a sociálních věcí,Fórum sociální politiky
14,35,36,Česká zemědělská univerzita v Praze,Sociologie a historie zemědělství
15,63,33,Česká sociologická společnost,Sociologické aktuality
16,65,27,Masarykova sociologická společnost,Sociální revue
17,65,32,Masarykova sociologická společnost,Sociologická revue
18,67,12,Sociologický kruh posluchačů vysokých škol pražských,Kruh
19,73,33,Sociologické nakladatelství (SLON),Sociologické aktuality
21,45,1,Palackého univerzita v Olomouci,Acta Universitatis Palackianae Olomucensis – Facultas Philosophica – Sociologica et Andragogica
23,15,6,Sociologický ústav AV ČR,Data a výzkum – SDA info
26,15,9,Sociologický ústav AV ČR,"Gender, rovné příležitosti, výzkum"
28,10,10,Etnologický ústav AV ČR,Historická demografie
30,15,10,Sociologický ústav AV ČR,Historická demografie
32,39,10,Karlova univerzita v Praze,Historická demografie
34,39,11,Karlova univerzita v Praze,Historická sociologie
37,39,13,Karlova univerzita v Praze,Lidé města
39,15,15,Sociologický ústav AV ČR,Naše společnost
42,41,19,Masarykova univerzita v Brně,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
44,65,26,Masarykova sociologická společnost,Sociální problémy
46,68,26,Společnost pro sociální bádání,Sociální problémy
48,70,26,Knihovna Sociálních problémů,Sociální problémy
51,41,30,Masarykova univerzita v Brně,Sociální studia
53,45,31,Palackého univerzita v Olomouci,Sociologica
55,21,32,Ukrajinský sociologický ústav,Sociologická revue
57,39,32,Karlova univerzita v Praze,Sociologická revue
59,41,32,Masarykova univerzita v Brně,Sociologická revue
63,15,34,Sociologický ústav AV ČR,Sociologický časopis / Czech Sociological Review
66,11,36,Institut sociologie venkova a historie zemědělství VÚZEI,Sociologie a historie zemědělství
70,39,40,Karlova univerzita v Praze,Studia sociologica
